변수명,Label
,"  7) 퀵커머스(우리동네GS, B마트, 배민스토어, 요마트, 요편의점 등 주문한 상품을 1시간 이내에 받는 즉시 배송)"
,"  8) 해외직구 사이트(아마존, 이베이, 아이허브, 오플 등)"
A11_2,"  1) 온라인 쇼핑몰(G마켓, 11번가, 쿠팡, 네이버 쇼핑 등) ※오프라인 유통사업이 없는 온라인 전문몰"
,"  2) 온라인 식품 전문몰(마켓컬리, 오아시스, 윙잇, 쿠캣 등 식품을 주로 판매하는 식품 전문몰)"
,"  3) 대형마트/백화점/홈쇼핑 온라인 매장(이마트, SSG, 롯데, 현대, CJ, GS 등)   ※ 기존 유통사업이 있는 온라인몰"
,"  4) 친환경 전문점 온라인 매장(생협, 유기농 전문점, 초록마을, 한살림 등)"
,"  5) 특산물 온라인 매장(시/도, 농협, 생산자단체, 우체국 등 운영 쇼핑몰)"
,"  6) SNS 구매(온라인 카페, 블로그, 카카오, 인스타마켓, 공구밴드 등)"
,"  7) 퀵커머스(우리동네GS, B마트, 배민스토어, 요마트, 요편의점 등 주문한 상품을 1시간 이내에 받는 즉시 배송)"
,"  8) 해외직구 사이트(아마존, 이베이, 아이허브, 오플 등)"
A12_1,"  1) 육류가공품(소시지, 햄 및 베이컨, 육가공품 등)"
,"  2) 알가공품(삶은 계란, 삶은 메추리알 등)"
,"  3) 조미수산가공품(어육, 맛살, 수산물통조림 등)"
,"  4) 염건수산가공품(젓갈류, 김, 미역, 북어, 굴비 등)"
,"  5) 김치 및 절임류(배추김치, 장아찌, 단무지 등)"
,"  6) 과일채소가공품(과일/채소통조림, 퓨레/페이스트 등)"
,"  7) 장류(간장, 된장, 고추장, 쌈장, 춘장, 청국장 등)"
,"  8) 조미식품(드레싱/소스류, 소금, 설탕, 식초, 고춧가루 등)"
,"  9) 유지류(참기름 및 들기름, 식용유, 버터 등)"
," 10) 유가공품(우유, 요구르트 등 발효유, 치즈, 분유 등)"
," 11) 빵 및 떡류(식빵, 케이크, 일반빵류, 떡류 등)"
," 12) 과자류(과자, 한과, 초콜릿가공품, 사탕, 빙과류 등)"
," 13) 면류(인스턴트 라면, 국수, 칼국수, 당면, 우동 등)"
," 14) 연식품(두부류, 순두부, 유부, 묵류, 곤약 등)"
," 15) 곡물가공품(밀가루류, 전분, 쌀가루, 씨리얼 등)"
," 16) 커피 및 차(커피, 커피음료, 잎차, 티백, 곡물차 등)"
," 17) 음료류(탄산음료, 과일음료, 기능성음료, 생수, 두유 등)"
," 18) 주류(맥주, 소주, 양주, 와인 및 과일주 등)"
," 19) 간편식(HMR, 즉석조리, 즉석섭취, 밀키트, 신선편의)"
," 20) 건강기능식품(비타민, 식이섬유, 오메가3, 홍삼 등)"
A12_2,"  1) 육류가공품(소시지, 햄 및 베이컨, 육가공품 등)"
,"  2) 알가공품(삶은 계란, 삶은 메추리알 등)"
,"  3) 조미수산가공품(어육, 맛살, 수산물통조림 등)"
,"  4) 염건수산가공품(젓갈류, 김, 미역, 북어, 굴비 등)"
,"  5) 김치 및 절임류(배추김치, 장아찌, 단무지 등)"
,"  6) 과일채소가공품(과일/채소통조림, 퓨레/페이스트 등)"
,"  7) 장류(간장, 된장, 고추장, 쌈장, 춘장, 청국장 등)"
,"  8) 조미식품(드레싱/소스류, 소금, 설탕, 식초, 고춧가루 등)"
,"  9) 유지류(참기름 및 들기름, 식용유, 버터 등)"
," 10) 유가공품(우유, 요구르트 등 발효유, 치즈, 분유 등)"
," 11) 빵 및 떡류(식빵, 케이크, 일반빵류, 떡류 등)"
," 12) 과자류(과자, 한과, 초콜릿가공품, 사탕, 빙과류 등)"
," 13) 면류(인스턴트 라면, 국수, 칼국수, 당면, 우동 등)"
," 14) 연식품(두부류, 순두부, 유부, 묵류, 곤약 등)"
," 15) 곡물가공품(밀가루류, 전분, 쌀가루, 씨리얼 등)"
," 16) 커피 및 차(커피, 커피음료, 잎차, 티백, 곡물차 등)"
," 17) 음료류(탄산음료, 과일음료, 기능성음료, 생수, 두유 등)"
," 18) 주류(맥주, 소주, 양주, 와인 및 과일주 등)"
," 19) 간편식(HMR, 즉석조리, 즉석섭취, 밀키트, 신선편의)"
," 20) 건강기능식품(비타민, 식이섬유, 오메가3, 홍삼 등)"
A12_3,"  1) 육류가공품(소시지, 햄 및 베이컨, 육가공품 등)"
,"  2) 알가공품(삶은 계란, 삶은 메추리알 등)"
,"  3) 조미수산가공품(어육, 맛살, 수산물통조림 등)"
,"  4) 염건수산가공품(젓갈류, 김, 미역, 북어, 굴비 등)"
,"  5) 김치 및 절임류(배추김치, 장아찌, 단무지 등)"
,"  6) 과일채소가공품(과일/채소통조림, 퓨레/페이스트 등)"
,"  7) 장류(간장, 된장, 고추장, 쌈장, 춘장, 청국장 등)"
,"  8) 조미식품(드레싱/소스류, 소금, 설탕, 식초, 고춧가루 등)"
,"  9) 유지류(참기름 및 들기름, 식용유, 버터 등)"
," 10) 유가공품(우유, 요구르트 등 발효유, 치즈, 분유 등)"
," 11) 빵 및 떡류(식빵, 케이크, 일반빵류, 떡류 등)"
," 12) 과자류(과자, 한과, 초콜릿가공품, 사탕, 빙과류 등)"
," 13) 면류(인스턴트 라면, 국수, 칼국수, 당면, 우동 등)"
," 14) 연식품(두부류, 순두부, 유부, 묵류, 곤약 등)"
," 15) 곡물가공품(밀가루류, 전분, 쌀가루, 씨리얼 등)"
," 16) 커피 및 차(커피, 커피음료, 잎차, 티백, 곡물차 등)"
," 17) 음료류(탄산음료, 과일음료, 기능성음료, 생수, 두유 등)"
," 18) 주류(맥주, 소주, 양주, 와인 및 과일주 등)"
," 19) 간편식(HMR, 즉석조리, 즉석섭취, 밀키트, 신선편의)"
," 20) 건강기능식품(비타민, 식이섬유, 오메가3, 홍삼 등)"
A13,  1) PC(컴퓨터)를 이용한 인터넷 주문
,  2) 스마트폰·테블릿을 이용한 모바일 주문
, 21) 전화 주문
, 91) 가족이 대신 주문
A14_1,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다/그저 그렇다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A14_2,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다/그저 그렇다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A14_3,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다/그저 그렇다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A14_4,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다/그저 그렇다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A14_5,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다/그저 그렇다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A15,  1) 매우 감소했다
,  2) 약간 감소했다
,  3) 비슷하다
,  4) 약간 증가했다
,  5) 매우 증가했다
A16,  1) 매우 감소할 것이다
,  2) 약간 감소할 것이다
,  3) 현 수준을 유지할 것이다
,  4) 약간 증가할 것이다
,  5) 매우 증가할 것이다
BA1_1,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BA1_2,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BA1_3,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BA2_1,  1) 가격
,  2) 용량
,  3) 브랜드/상표/제조사
,  4) 제조일자/유통기한
,  5) 품질인증 표시
,  6) 원산지
,  7) 영양성분
,  8) 식품첨가물
,  9) 원재료/성분 함량
, 10) 포장 디자인
, 11) 포장 재활용 여부
, 12) 기능성 표시/식품의 효능
, 13) 섭취 주의사항(알레르기 유발 등)
, 14) 보관방법
, 15) 알코올 도수
, 51) 맛
, 95) 구입하지 않음
BA2_2,  1) 가격
,  2) 용량
,  3) 브랜드/상표/제조사
,  4) 제조일자/유통기한
,  5) 품질인증 표시
,  6) 원산지
,  7) 영양성분
,  8) 식품첨가물
,  9) 원재료/성분 함량
, 10) 포장 디자인
, 11) 포장 재활용 여부
, 12) 기능성 표시/식품의 효능
, 13) 섭취 주의사항(알레르기 유발 등)
, 14) 보관방법
, 15) 알코올 도수
, 51) 맛
, 95) 구입하지 않음
BA2_3,  1) 가격
,  2) 용량
,  3) 브랜드/상표/제조사
,  4) 제조일자/유통기한
,  5) 품질인증 표시
,  6) 원산지
,  7) 영양성분
,  8) 식품첨가물
,  9) 원재료/성분 함량
, 10) 포장 디자인
, 11) 포장 재활용 여부
, 12) 기능성 표시/식품의 효능
, 13) 섭취 주의사항(알레르기 유발 등)
, 14) 보관방법
, 15) 알코올 도수
, 51) 맛
, 95) 구입하지 않음
BB1_1,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BB1_2,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BB1_3,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BB1_4,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BB1_5,  0) 구입 없음
,  1) 매우 감소
,  2) 약간 감소
,  3) 비슷
,  4) 약간 증가
,  5) 매우 증가
BB2_1,  1) 가격
,  2) 용량
,  3) 브랜드/상표/제조사
,  4) 제조일자/유통기한
,  5) 품질인증 표시
,  6) 원산지
,  7) 영양성분
,  8) 식품첨가물
,  9) 원재료/성분 함량
, 10) 포장 디자인
, 11) 포장 재활용 여부
, 12) 기능성 표시/식품의 효능
, 13) 섭취 주의사항(알레르기 유발 등)
, 14) 보관방법
, 15) 알코올 도수
, 51) 맛
, 95) 구입하지 않음
BB2_2,  1) 가격
,  2) 용량
,  3) 브랜드/상표/제조사
,  4) 제조일자/유통기한
,  5) 품질인증 표시
,  6) 원산지
,  7) 영양성분
,  8) 식품첨가물
,  9) 원재료/성분 함량
, 10) 포장 디자인
, 11) 포장 재활용 여부
, 12) 기능성 표시/식품의 효능
, 13) 섭취 주의사항(알레르기 유발 등)
, 14) 보관방법
, 15) 알코올 도수
, 51) 맛
, 95) 구입하지 않음
BB2_3,  1) 가격
,  2) 용량
,  3) 브랜드/상표/제조사
,  4) 제조일자/유통기한
,  5) 품질인증 표시
,  6) 원산지
,  7) 영양성분
